ZMH,108 Mile Ranch Airport;108 Mile Ranch#Canada!North America
AMV,Amderma Airport;Amderma#Russian Federation!Europe
RCN,American River Airport;American River#Australia!Oceania
AHH,Amery Municipal Airport;Amery#United States!North America
AMW,Ames Airport;Ames#United States!North America
AYZ,Zahns Airport;Amityville#United States!North America
ADJ,Marka International Airport;Amman#Jordan!Middle East
AMM,Queen Alia International Airport;Amman#Jordan!Middle East
AMX,Ammaroo Airport;Ammaroo#Australia!Oceania
QUW,Ammassivik Heliport;Ammassivik#Greenland!North America
BSM,Bishe Kola Air Base;Amol#Iran!Asia
AOS,Amook Bay Seaplane Base;Amook#United States!North America
YEY,Amos/Magny Airport;Amos#Canada!North America
AMP,Ampanihy Airport;Ampanihy#Madagascar!Africa
ATQ,Sri Guru Ram Dass Jee International Airport;Amritsar#India!Asia
AMS,Amsterdam Airport Schiphol;Amsterdam#Netherlands!Europe
AVA,An Shun/Huang Guo Shu Airport;An Shun#China!Asia
AAA,Anaa Airport;Anaa#French Polynesia!Oceania
AAO,Anaco Airport;Anaco#Venezuela!South America
OTS,Anacortes Airport;Anacortes#United States!North America
NDV,United States Naval Heliport;Anacostia#United States!North America
DYR,Anadyr Airport;Anadyr#Russian Federation!Europe
ANA,Anaheim Airport;Anaheim#United States!North America
YAA,Anahim Lake Airport;Anahim Lake#Canada!North America
AKP,Anaktuvuk Airport;Anaktuvuk#United States!North America
HVA,Analalava Airport;Analalava#Madagascar!Africa
AAQ,Anapa Airport;Anapa#Russian Federation!Europe
APS,Anapolis Airport;Anapolis#Brazil!South America
ANC,Ted Stevens Anchorage International Airport;Anchorage#United States!North America
MRI,Merrill Field;Anchorage#United States!North America
EDF,Elmendorf Air Force Base;Anchorage#United States!North America
AOI,Ancona Falconara Airport;Ancona#Italy!Europe
ZUD,Ancud Airport;Ancud#Chile!South America
ANS,Andahuaylas Airport;Andahuaylas#Peru!South America
ADC,Andakombe Airport;Andakombe#Papua New Guinea!Asia
ADO,Andamooka Airport;Andamooka#Australia!Oceania
ZWA,Andapa Airport;Andapa#Madagascar!Africa
DVD,Andavadoaka Airport;Andavadoaka#Madagascar!Africa
ANX,Andenes Airport;Andenes#Norway!Europe
AID,Anderson Municipal Airport;Anderson#United States!North America
AND,Anderson Airport;Anderson#United States!North America
ADN,Andes Airport;Andes#Colombia!South America
AZN,Andizhan Airport;Andizhan#Uzbekistan!Asia
ALV,Andorra La Vella Heliport;Andorra La Vella#Andorra!Europe
ADR,Andrews Airport;Andrews#United States!North America
WAD,Andriamena Airport;Andriamena#Madagascar!Africa
ASD,Andros Town Airport;Andros Town#Bahamas!Caribbean
ANL,Andulo Airport;Andulo#Angola!Africa
NGD,Auguste George Airport;Anegada#British Virgin Islands!Caribbean
AUY,Aneityum Airport;Aneityum#Vanuatu!Oceania
AXX,Angel Fire Airport;Angel Fire#United States!North America
AGH,Angelholm Helsingborg Airport;Angelholm/Helsingborg#Sweden!Europe
JHE,Helsingborg Heliport;Angelholm/Helsingborg#Sweden!Europe
ANE,Arville Airport;Angers#France!Europe
AGD,Anggi Airport;Anggi#Indonesia!Asia
YAX,Angling Lake Airport;Angling Lake#Canada!North America
ANO,Angoche Airport;Angoche#Mozambique!Africa
ANQ,Tri-State Steuben County Airport;Angola#United States!North America
AGN,Angoon Seaplane Base;Angoon#United States!North America
AGG,Angoram Airport;Angoram#Papua New Guinea!Asia
ANG,Brie-Champniers Airport;Angouleme#France!Europe
AKG,Anguganak Airport;Anguganak#Papua New Guinea!Asia
AXA,Clayton J. Lloyd International Airport;Anguilla#Anguilla!Caribbean
RFK,Rollang Field;Anguilla#United States!North America
ANZ,Angus Downs Airport;Angus Downs#Australia!Oceania
ANI,Aniak Airport;Aniak#United States!North America
AIB,Anita Bay Airport;Anita Bay#United States!North America
AWD,Aniwa Airport;Aniwa#Vanuatu!Oceania
AJN,Ouani Airport;Anjouan#Comoros!Africa
AKA,Ankang Airport;Ankang#China!Asia
ESB,Esenboga Airport;Ankara#Turkey!Europe
ANK,Etimesgut Airport;Ankara#Turkey!Europe
JVA,Ankavandra Airport;Ankavandra#Madagascar!Africa
WAK,Ankazoabo Airport;Ankazoabo#Madagascar!Africa
NKO,Ankokoambo Airport;Ankokoambo#Madagascar!Africa
WOR,Moramba Airport;Ankorefo#Madagascar!Africa
VBA,Ann Airport;Ann#Myanmar!Asia
ARB,Ann Arbor Municipal Airport;Ann Arbor#United States!North America
AAE,Les Salines Airport;Annaba#Algeria!Africa
NAI,Annai Airport;Annai#Guyana!South America
AOB,Annanberg Airport;Annanberg#Papua New Guinea!Asia
ANP,Lee Airport;Annapolis#United States!North America
NCY,Annecy-Meythet Airport;Annecy#France!Europe
ANN,Annette Island Airport;Annette Island#United States!North America
ANB,Anniston Metropolitan Airport;Anniston#United States!North America
RLI,Reilly Army Heliport;Anniston#United States!North America
