ZMH,108 Mile Ranch Airport;108 Mile Ranch#Canada!North America
KVC,King Cove Airport;King Cove#United States!North America
KNS,King Island Airport;King Island#Australia!Oceania
KMC,Hafar Al-Batin Domestic Airport;King Khalid Military City#Saudi Arabia!Middle East
AKN,King Salmon Airport;King Salmon#United States!North America
KGY,Kingaroy Airport;Kingaroy#Australia!Oceania
KIF,Kingfisher Lake Airport;Kingfisher Lake#Canada!North America
IGM,Kingman Airport;Kingman#United States!North America
KBJ,King Canyon Airport;Kings Canyon#Australia!Oceania
KCS,Kings Creek Station Airport;Kings Creek Station#Australia!Oceania
KNF,Marham Royal Air Force;Kings Lynn#United Kingdom!Europe
KGC,Kingscote Airport;Kingscote#Australia!Oceania
YGK,Kingston/Norman Rogers Airport;Kingston#Canada!North America
KIN,Norman Manley International Airport;Kingston#Jamaica!Caribbean
KTP,Tinson Airport;Kingston#Jamaica!Caribbean
NQI,Naval Air Station;Kingsville#United States!North America
KNH,Kinmen Airport;Kinmen#Republic of China Taiwan!Asia
KNY,Kinoosao Airport;Kinoosao#Canada!North America
FIH,N'djili Airport;Kinshasa#The Democratic Republic of The Congo!Africa
NLO,N'Dolo Airport;Kinshasa#The Democratic Republic of The Congo!Africa
ISO,Kinston Regional Jetport;Kinston#United States!North America
KPN,Kipnuk Sea Plane Base;Kipnuk#United States!North America
KIQ,Kira Airport;Kira#Papua New Guinea!Asia
IRA,Kirakira Airport;Kirakira#Solomon Islands!Oceania
KCK,Kirensk Airport;Kirensk#Russian Federation!Europe
KRZ,Kiri Airport;Kiri#The Democratic Republic of The Congo!Africa
KKN,Kirkenes Airport, Hoeybuktmoen;Kirkenes#Norway!Europe
KBB,Kirkimbie Airport;Kirkimbie#Australia!Oceania
YKX,Kirkland Lake Airport;Kirkland Lake#Canada!North America
IRK,Kirksville Municipal Airport;Kirksville#United States!North America
KIK,Kirkuk Airport;Kirkuk#Iraq!Middle East
KOI,Kirkwall Airport;Kirkwall#United Kingdom!Europe
KVX,Kirov Airport;Kirov#Russian Federation!Europe
KGO,Kirovograd Airport;Kirovograd#Ukraine!Europe
KVK,Kirovsk Airport;Kirovsk#Russian Federation!Europe
KRN,Kiruna Airport;Kiruna#Sweden!Europe
KRE,Kirundo Airport;Kirundo#Burundi!Africa
KSW,Kiryat Shmona Airport;Kiryat Shmona#Israel!Middle East
FKI,Bangoka International Airport;Kisangani#The Democratic Republic of The Congo!Africa
KSG,Kisengan Airport;Kisengan#Papua New Guinea!Asia
KIH,Kish International Airport;Kish Island#Iran!Asia
KMU,Kismayu Airport;Kismayu#Somalia!Africa
KSI,Kissidougou Airport;Kissidougou#Guinea!Africa
ISM,Kissimmee Gateway Airport;Kissimmee#United States!North America
KIS,Kisumu Airport;Kisumu#Kenya!Africa
KTD,Kitadaito Airport;Kitadaito#Japan!Asia
KKJ,Kitakyushu Airport;Kitakyushu#Japan!Asia
KTL,Kitale Airport;Kitale#Kenya!Africa
KVE,Kitava Airport;Kitava#Papua New Guinea!Asia
YKF,Region of Waterloo International Airport;Kitchener#Canada!North America
KTQ,Kitee Airport;Kitee#Finland!Europe
KIT,Kithira Airport;Kithira#Greece!Europe
YKK,Kitkatla Airport;Kitkatla#Canada!North America
QJE,Kitsissuarsuit Heliport;Kitsissuarsuit#Greenland!North America
KTT,Kittila Airport;Kittila#Finland!Europe
KKB,Kitui Bay Sea Plane Base;Kitui Bay#United States!North America
KIW,Southdowns Airport;Kitwe#Zambia!Africa
KZG,Kitzingen Airport;Kitzingen#Germany!Europe
KIU,Kiunga Airport;Kiunga#Kenya!Africa
UNG,Kiunga Airport;Kiunga#Papua New Guinea!Asia
KVL,Kivalina Airport;Kivalina#United States!North America
KWX,Kiwai Island Airport;Kiwai Island#Papua New Guinea!Asia
KWY,Kiwayu Airport;Kiwayu#Kenya!Africa
KZH,Kizhuyak Airport;Kizhuyak#United States!North America
KBK,Klagbay Airport;Klagbay#United States!North America
KLU,Klagenfurt Airport;Klagenfurt#Austria!Europe
KLJ,Klaipeda Airport;Klaipeda#Lithuania!Europe
LMT,Kingsley Field;Klamath Falls#United States!North America
KLW,Klawock Airport;Klawock#United States!North America
KLZ,Kleinzee Airport;Kleinzee#South Africa!Africa
YKT,Klemtu Airport;Klemtu#Canada!North America
KXE,Klerksdorp Airport;Klerksdorp#South Africa!Africa
YKE,Knee Lake Airport;Knee Lake#Canada!North America
KNV,Knights Inlet Airport;Knights Inlet#Canada!North America
NOC,Ireland West Airport Knock;Knock#Ireland!Europe
TYS,McGhee Tyson Airport;Knoxville#United States!North America
UKB,Kobe Airport;Kobe#Japan!Asia
OBU,Kobuk/Wien Airport;Kobuk#United States!North America
KCZ,Kochi Ryoma Airport;Kochi#Japan!Asia
COK,Cochin International Airport;Kochi#India!Asia
ADQ,Kodiak Benny Benson State Airport;Kodiak#United States!North America
WDY,Kodiak FSS Airport;Kodiak#United States!North America
KDK,Kodiak Municipal Airport;Kodiak#United States!North America
KOQ,Koethen Airport;Koethen#Germany!Europe
KGP,Kogalym International Airport;Kogalym#Russian Federation!Europe
KCT,Koggala Airport;Koggala#Sri Lanka!Asia
KKZ,Koh Kong Airport;Koh Kong#Cambodia!Asia
USM,Samui Airport;Koh Samui#Thailand!Asia
OHT,Kohat Airport;Kohat#Pakistan!Asia
KMB,Koinambe Airport;Koinambe#Papua New Guinea!Asia
KIG,Koingnaas Airport;Koingnaas#South Africa!Africa
KOK,Kruunupyy Airport;Kokkola/Pietarsaari#Finland!Europe
KKD,Kokoda Airport;Kokoda#Papua New Guinea!Asia
OKK,Kokomo Municipal Airport;Kokomo#United States!North America
KOX,Kokonao Airport;Kokonao#Indonesia!Asia
KOR,Kokoro Airport;Kokoro#Papua New Guinea!Asia
KOV,Kokshetau Airport;Kokshetau#Kazakhstan!Asia
KQL,Kol Airport;Kol#Papua New Guinea!Asia
KDA,Kolda Airport;Kolda#Senegal!Africa
KLH,Kolhapur Airport;Kolhapur#India!Asia
CCU,Netaji Subhas Chandra Bose Airport;Kolkata#India!Asia
KWZ,Kolwezi Airport;Kolwezi#The Democratic Republic of The Congo!Africa
KCJ,Komaio Airport;Komaio#Papua New Guinea!Asia
HOC,Komako Airport;Komako#Papua New Guinea!Asia
KOF,Komatipoort Airport;Komatipoort#South Africa!Africa
KMQ,Komatsu Airport;Komatsu#Japan!Asia
KOM,Komo Airport;Komo#Papua New Guinea!Asia
KPM,Kompiam Airport;Kompiam#Papua New Guinea!Asia
KZK,Kompong Thom Airport;Kompong Thom#Cambodia!Asia
KZC,Kompong-Chhna Airport;Kompong-Chhna#Cambodia!Asia
KXK,Khurba Airport;Komsomolsk Na Amure#Russian Federation!Europe
KCI,Kon Airport;Kon#Indonesia!Asia
KKG,Konawaruk Airport;Konawaruk#Guyana!South America
KPF,Kondubol Airport;Kondubol#Papua New Guinea!Asia
KNQ,Kone Airport;Kone#New Caledonia!Oceania
KGB,Konge Airport;Konge#Papua New Guinea!Asia
KKH,Kongiganak Airport;Kongiganak#United States!North America
GKO,Kongoboumba Airport;Kongoboumba#Gabon!Africa
KOO,Kongolo Airport;Kongolo#The Democratic Republic of The Congo!Africa
XZD,Kongsvinger Airport;Kongsvinger#Norway!Europe
KON,Kontum Airport;Kontum#Viet Nam!Asia
KYA,Konya Airport;Konya#Turkey!Europe
GKK,Kooddoo Island Airport;Kooddoo Island#Maldives!Asia
KOH,Koolatah Airport;Koolatah#Australia!Oceania
KKP,Koolburra Airport;Koolburra#Australia!Oceania
KQB,Koonibba Airport;Koonibba#Australia!Oceania
OPA,Kopasker Airport;Kopasker#Iceland!Europe
KPA,Kopiago Airport;Kopiago#Papua New Guinea!Asia
HGO,Korhogo Airport;Korhogo#Cote d'Ivoire!Africa
KRL,Korla Airport;Korla#China!Asia
KXF,Koro Island Airport;Koro#Fiji!Oceania
KDE,Koroba Airport;Koroba#Papua New Guinea!Asia
KVU,Korolevu Airport;Korolevu#Fiji!Oceania
ROR,Airai Airport;Koror#Palau!Oceania
KJK,Kortrijk Airport;Kortrijk#Belgium!Europe
KGS,Kos Airport;Kos#Greece!Europe
OSX,Attala County Airport;Kosciusko#United States!North America
KSC,Barca Airport;Kosice#Slovakia!Europe
KSP,Kosipe Airport;Kosipe#Papua New Guinea!Asia
KSA,Kosrae Airport;Kosrae, Caroline Islands#Micronesia!Oceania
KSN,Kostanay Airport;Kostanay#Kazakhstan!Asia
KST,Kosti Airport;Kosti#Sudan!Africa
KMW,Kostroma Airport;Kostroma#Russian Federation!Europe
OSZ,Koszalin Airport;Koszalin#Poland!Europe
KTU,Kota Airport;Kota#India!Asia
KBR,Sultan Ismail Petra Airport;Kota Bharu#Malaysia!Asia
BKI,Kota Kinabalu International Airport;Kota Kinabalu#Malaysia!Asia
KLI,Kota Koli Airport;Kota Koli#The Democratic Republic of The Congo!Africa
KOD,Kotabangun Airport;Kotabangun#Indonesia!Asia
KBU,Gusti Syamsir Alam Airport;Kotabaru#Indonesia!Asia
KSZ,Kotlas Airport;Kotlas#Russian Federation!Europe
KOT,Kotlik Airport;Kotlik#United States!North America
OTZ,Ralph Wien Memorial Airport;Kotzebue#United States!North America
KDF,Kouba Airport;Kouba#Algeria!Africa
KOU,Koulamoutou Airport;Koulamoutou#Gabon!Africa
KOC,Koumac Airport;Koumac#New Caledonia!Oceania
KOL,Koumala Airport;Koumala#Central African Republic!Africa
SBI,Sambailo Airport;Koundara#Guinea!Africa
KOB,Koutaba Airport;Koutaba#Cameroon!Africa
KTX,Koutiala Airport;Koutiala#Mali!Africa
UTI,Utti Airport;Kouvola#Finland!Europe
KWM,Kowanyama Airport;Kowanyama#Australia!Oceania
KKA,Koyuk Airport;Koyuk#United States!North America
KYU,Koyukuk Airport;Koyukuk#United States!North America
KZI,Philippos Airport;Kozani#Greece!Europe
CCJ,Calicut International Airport;Kozhikode#India!Asia
KBV,Krabi Airport;Krabi#Thailand!Asia
KZD,Krakor Airport;Krakor#Cambodia!Asia
KRK,J. Paul II International Airport Krakow-Balice;Krakow#Poland!Europe
KRQ,Kramatorsk Airport;Kramatorsk#Ukraine!Europe
KRF,Kramfors Airport;Kramfors#Sweden!Europe
KRR,Krasnodar International Airport;Krasnodar#Russian Federation!Europe
KJA,Yemelyanovo Airport;Krasnojarsk#Russian Federation!Europe
KKQ,Krasnosel'Kup Airport;Krasnosel'Kup#Russian Federation!Europe
KTI,Kratie Airport;Kratie#Cambodia!Asia
KHU,Kremenchug Airport;Kremenchug#Ukraine!Europe
KBI,Kribi Airport;Kribi#Cameroon!Africa
KRS,Kjevik Airport;Kristiansand#Norway!Europe
KID,Kristianstad Airport;Kristianstad#Sweden!Europe
KSU,Kristiansund Airport, Kvernberget;Kristiansund#Norway!Europe
KWG,Krivoy Rog Airport;Krivoy Rog#Ukraine!Europe
SZB,Sultan Abdul Aziz Shah Airport;Kuala Lumpur#Malaysia!Asia
KUL,Kuala Lumpur International Airport;Kuala Lumpur#Malaysia!Asia
KNO,Kuala Namu International Airport;Kuala Namu#Indonesia!Asia
TGG,Sultan Mahmud Airport;Kuala Terengganu#Malaysia!Asia
KUA,Kuantan Airport;Kuantan#Malaysia!Asia
KUG,Kubin Island Airport;Kubin Island#Australia!Oceania
KCH,Kuching Airport;Kuching#Malaysia!Asia
KUD,Kudat Airport;Kudat#Malaysia!Asia
AKF,Kufrah Airport;Kufrah#Libya!Africa
YCO,Kugluktuk Airport;Kugluktuk/Coppermine#Canada!North America
KUW,Kugururok River Airport;Kugururok River#United States!North America
SVP,Kuito Airport;Kuito#Angola!Africa
KUE,Kukundu Airport;Kukundu#Solomon Islands!Oceania
KGR,Kulgera Airport;Kulgera#Australia!Oceania
LKK,Kulik Lake Airport;Kulik Lake#United States!North America
KHQ,Kullorsuaq Heliport;Kullorsuaq#Greenland!North America
KUU,Bhuntar Airport;Kulu#India!Asia
KUS,Kulusuk Airport;Kulusuk#Greenland!North America
TJU,Kulyab Airport;Kulyab#Tajikistan!Asia
KMJ,Kumamoto Airport;Kumamoto#Japan!Asia
KMS,Kumasi Airport;Kumasi#Ghana!Africa
UEO,Kume-jima Airport;Kume-jima#Japan!Asia
DEE,Mendeleyevo Airport;Kunashir Island#Russian Federation!Europe
CMU,Chimbu Airport;Kundiawa#Papua New Guinea!Asia
UND,Kunduz Airport;Kunduz#Afghanistan!Asia
KMG,Kunming Changshui International Airport;Kunming#China!Asia
KNX,Kununurra Airport;Kununurra#Australia!Oceania
KUO,Kuopio Airport;Kuopio#Finland!Europe
KEV,Halli Airport;Kuorevesi#Finland!Europe
KOE,El Tari Airport;Kupang#Indonesia!Asia
UUK,Kuparuk Airport;Kuparuk#United States!North America
KUP,Kupiano Airport;Kupiano#Papua New Guinea!Asia
KCA,Kuqa Airport;Kuqa#China!Asia
KUR,Kuran-O-Munjan Airport;Kuran-O-Munjan#Afghanistan!Asia
URE,Kuressaare Airport;Kuressaare#Estonia!Europe
KRO,Kurgan Airport;Kurgan#Russian Federation!Europe
KQT,Qurghonteppa International Airport;Kurgon-Tyube#Tajikistan!Asia
KUQ,Kuri Airport;Kuri#Papua New Guinea!Asia
KUC,Kuria Airport;Kuria#Kiribati!Oceania
URS,Kursk Vostochny Airport;Kursk#Russian Federation!Europe
KMH,Kuruman Airport;Kuruman#South Africa!Africa
KRD,Kurundi Airport;Kurundi#Australia!Oceania
KPG,Kurupung Airport;Kurupung#Guyana!South America
KWV,Kurwina Airport;Kurwina#Papua New Guinea!Asia
KUJ,Kushimoto Airport;Kushimoto#Japan!Asia
KUH,Kushiro Airport;Kushiro#Japan!Asia
KZR,Zafer Airport;Kutahya#Turkey!Europe
KUT,Kutaisi Airport;Kutaisi#Georgia!Europe
YVP,Kuujjuaq Airport;Kuujjuaq#Canada!North America
YGW,Kuujjuarapik Airport;Kuujjuarapik#Canada!North America
KUZ,Kuummiit Heliport;Kuummiit#Greenland!North America
KAO,Kuusamo Airport;Kuusamo#Finland!Europe
KWI,Kuwait International Airport;Kuwait#Kuwait!Middle East
KUX,Kuyol Airport;Kuyol#Papua New Guinea!Asia
KWR,Kwai Harbour Airport;Kwai Harbour#Solomon Islands!Oceania
KWA,Kwajalein Airport;Kwajalein#Marshall Islands!Oceania
EAL,Elenak Airport;Kwajalein Atoll#Marshall Islands!Oceania
KWT,Kwethluk Airport;Kwethluk#United States!North America
KWK,Kwigillingok Airport;Kwigillingok#United States!North America
KYT,Kyaukhtu Airport;Kyaukhtu#Myanmar!Asia
KYP,Kyaukpyu Airport;Kyaukpyu#Myanmar!Asia
KYZ,Kyzyl Airport;Kyzyl#Russian Federation!Europe
KZO,Kzyl-Orda Airport;Kzyl-Orda#Kazakhstan!Asia
YBG,Saguenay-Bagotville Airport;La Baie#Canada!North America
LBY,Montoir Airport;La Baule#France!Europe
LCE,Goloson International Airport;La Ceiba#Honduras!Central America
LCR,La Chorrera Airport;La Chorrera#Colombia!South America
LCL,La Coloma Airport;La Coloma#Cuba!Caribbean
LCG,A Coruna Airport;La Coruna#Spain and Canary Islands!Europe
LSE,La Crosse Regional Airport;La Crosse#United States!North America
LCM,La Cumbre Airport;La Cumbre#Argentina!South America
DSD,La Desirade Airport;La Desirade#Guadeloupe!Caribbean
LEZ,La Esperanza Airport;La Esperanza#Honduras!Central America
LFR,La Fria Airport;La Fria#Venezuela!South America
YGL,La Grande Airport;La Grande#Canada!North America
LGD,La Grande/Union County Airport;La Grande#United States!North America
YAR,La Grande-3 Airport;La Grande-3#Canada!North America
YAH,La Grande-4 Airport;La Grande-4#Canada!North America
LGC,Calloway Airport;La Grange#United States!North America
LAG,La Guaira Airport;La Guaira#Venezuela!South America
YTM,Mont-Tremblant International Airport;La Macaza#Canada!North America
PLP,La Palma Airport;La Palma#Panama!Central America
NDO,La Palma Del Condado Airport;La Palma Del Condado#Spain and Canary Islands!Europe
LPB,El Alto International Airport;La Paz#Bolivia!South America
LAP,Leon Airport;La Paz#Mexico!North America
LPD,La Pedrera Airport;La Pedrera#Colombia!South America
LPG,La Plata Airport;La Plata#Argentina!South America
LPE,La Primavera Airport;La Primavera#Colombia!South America
IRJ,La Rioja Airport;La Rioja#Argentina!South America
EDM,Les Ajoncs Airport;La Roche#France!Europe
LRH,Laleu Airport;La Rochelle#France!Europe
LRM,La Romana Airport;La Romana#Dominican Republic!Caribbean
YVC,La Ronge Airport;La Ronge#Canada!North America
SSQ,La Sarre Airport;La Sarre#Canada!North America
LSC,La Florida Airport;La Serena#Chile!South America
ZLT,La Tabatiere Airport;La Tabatiere#Canada!North America
YLQ,La Tuque Airport;La Tuque#Canada!North America
LUI,La Union Airport;La Union#Honduras!Central America
POC,Brackett Field;La Verne#United States!North America
EUN,Hassan I Airport;Laayoune#Morocco!Africa
LBS,Labasa Airport;Labasa#Fiji!Oceania
LEK,Labe Airport;Labe#Guinea!Africa
LAB,Lablab Airport;Lablab#Papua New Guinea!Asia
WLB,Labouchere Bay Airport;Labouchere Bay#United States!North America
LBR,Labrea Airport;Labrea#Brazil!South America
LBU,Labuan Airport;Labuan#Malaysia!Asia
LBJ,Komodo Airport;Labuan Bajo#Indonesia!Asia
LAH,Labuha Airport;Labuha#Indonesia!Asia
YLB,Lac Biche Airport;Lac Biche#Canada!North America
XLB,Lac Brochet Airport;Lac Brochet#Canada!North America
LCI,Laconia Municipal Airport;Laconia#United States!North America
LDO,Ladouanie Airport;Ladouanie#Suriname!South America
LYT,Lady Elliot Island Airport;Lady Elliot Island#Australia!Oceania
LAY,Ladysmith Airport;Ladysmith#South Africa!Africa
LML,Lae Airport;Lae#Marshall Islands!Oceania
LAE,Nadzab Airport;Lae#Papua New Guinea!Asia
BYR,Laeso Airport;Laeso Island#Denmark!Europe
LAF,Purdue University Airport;Lafayette#United States!North America
LFT,Lafayette Regional Airport;Lafayette#United States!North America
YLF,Laforges Airport;Laforges#Canada!North America
LAJ,Lages Airport;Lages#Brazil!South America
LOO,L'Mekrareg Airport;Laghouat#Algeria!Africa
LGQ,Lago Agrio Airport;Lago Agrio#Ecuador!South America
ING,Lago Argentino Airport;Lago Argentino#Argentina!South America
LOS,Murtala Muhammed Airport;Lagos#Nigeria!Africa
LOM,Francisco P. V. y R. Airport;Lagos De Moreno#Mexico!North America
LCO,Lague Airport;Lague#Congo!Africa
LGY,Lagunillas Airport;Lagunillas#Venezuela!South America
LDU,Lahad Datu Airport;Lahad Datu#Malaysia!Asia
LHE,Allama Iqbal International Airport;Lahore#Pakistan!Asia
LHA,Lahr Airport;Lahr#Germany!Europe
LTC,Lai Airport;Lai#Chad!Africa
LGM,Laiagam Airport;Laiagam#Papua New Guinea!Asia
LBN,Lake Baringo Airport;Lake Baringo#Kenya!Africa
LCH,Lake Charles Regional Airport;Lake Charles#United States!North America
LCQ,Lake City Gateway Airport;Lake City#United States!North America
LEL,Lake Evella Airport;Lake Evella#Australia!Oceania
XES,Lake Geneva Municipal Airport;Lake Geneva#United States!North America
LGE,Lake Gregory Airport;Lake Gregory#Australia!Oceania
HII,Lake Havasu City Municipal Airport;Lake Havasu City#United States!North America
LJN,Brazoria County Airport;Lake Jackson#United States!North America
LKY,Lake Manyara Airport;Lake Manyara#United Republic of Tanzania!Africa
LMA,Lake Minchumina Airport;Lake Minchumina#United States!North America
LMY,Lake Murray Airport;Lake Murray#Papua New Guinea!Asia
LNH,Lake Nash Airport;Lake Nash#Australia!Oceania
LKP,Lake Placid Airport;Lake Placid#United States!North America
LKU,Lake Rudolf Airport;Lake Rudolf#Kenya!Africa
LKB,Lakeba Airport;Lakeba#Fiji!Oceania
LFP,Lakefield Airport;Lakefield#Australia!Oceania
NEL,Naec Airport;Lakehurst#United States!North America
LAL,Lakeland Municipal Airport;Lakeland#United States!North America
LKD,Lakeland Downs Airport;Lakeland Downs#Australia!Oceania
LKS,Lakeside Airport;Lakeside#United States!North America
LKV,Lake County Airport;Lakeview#United States!North America
LKT,Lakota Airport;Lakota#Cote d'Ivoire!Africa
LKL,Banak Airport;Lakselv#Norway!Europe
LLI,Lalibela Airport;Lalibela#Ethiopia!Africa
LAV,Lalomalava Airport;Lalomalava#Samoa!Oceania
LMC,Lamacarena Airport;Lamacarena#Colombia!South America
LPM,Lamap Airport;Lamap#Vanuatu!Oceania
LAA,Lamar Municipal Airport;Lamar#United States!North America
LMG,Lamassa Airport;Lamassa#Papua New Guinea!Asia
LBQ,Lambarene Airport;Lambarene#Gabon!Africa
LNB,Lamen Bay Airport;Lamen Bay#Vanuatu!Oceania
LFM,Lamerd Airport;Lamerd#Iran!Asia
SUF,Lamezia Terme International Airport;Lamezia-Terme#Italy!Europe
LDN,Lamidanda Airport;Lamidanda#Nepal!Asia
LPT,Lampang Airport;Lampang#Thailand!Asia
LMP,Lampedusa Airport;Lampedusa#Italy!Europe
LAU,Lamu Airport;Lamu#Kenya!Africa
LNY,Lanai Airport;Lanai#United States!North America
RZH,Quartz Hill Airport;Lancaster#United States!North America
WJF,General William J Fox Airfield;Lancaster#United States!North America
LNS,Lancaster Airport;Lancaster#United States!North America
LND,Hunt Field;Lander#United States!North America
LDV,Landivisiau Airport;Landivisiau#France!Europe
LEQ,Lands End Airport;Lands End#United Kingdom!Europe
JLD,Landskrona Heliport;Landskrona#Sweden!Europe
YLA,Langara Airport;Langara#Canada!North America
LGO,Langeoog Airport;Langeoog#Germany!Europe
LUV,Langgur Airport;Langgur#Indonesia!Asia
LNM,Langimar Airport;Langimar#Papua New Guinea!Asia
LGK,Langkawi International Airport;Langkawi#Malaysia!Asia
YLY,Langley Regional Airport;Langley#Canada!North America
LTG,Langtang Airport;Langtang#Nepal!Asia
LLK,Lankaran International Airport;Lankaran#Azerbaijan!Asia
LAI,Servel Airport;Lannion#France!Europe
LDW,Lansdowne Airport;Lansdowne#Australia!Oceania
YLH,Lansdowne House Airport;Lansdowne House#Canada!North America
HLA,Lanseria International Airport;Lanseria#South Africa!Africa
LAN,Capital Region International Airport;Lansing#United States!North America
ACE,Lanzarote Airport;Lanzarote#Spain and Canary Islands!Europe
LHW,Lanzhou Airport;Lanzhou#China!Asia
LZD,Lanzhoudong Airport;Lanzhou#China!Asia
ZGC,Zhongchuan Airport;Lanzhou#China!Asia
LAO,Laoag Airport;Laoag#Philippines!Asia
LPO,Laporte Municipal Airport;Laporte#United States!North America
LPP,Lappeenranta Airport;Lappeenranta#Finland!Europe
LRR,Lar Airport;Lar#Iran!Asia
LAR,General Brees Field;Laramie#United States!North America
LKA,Gewayenta Airport;Larantuka#Indonesia!Asia
LRD,Laredo International Airport;Laredo#United States!North America
LRA,Larisa Airport;Larisa#Greece!Europe
LCA,Larnaca International Airport;Larnaca#Cyprus!Europe
KLN,Larsen Sea Plane Base;Larsen Bay#United States!North America
LCS,Las Canas Airport;Las Canas#Costa Rica!Central America
LRU,Las Cruces Municipal Airport;Las Cruces#United States!North America
LGT,Las Gaviotas Airport;Las Gaviotas#Colombia!South America
LHS,Las Heras Airport;Las Heras#Argentina!South America
LKR,Las Khoreh Airport;Las Khoreh#Somalia!Africa
LLH,Las Limas Airport;Las Limas#Honduras!Central America
LLS,Las Lomitas Airport;Las Lomitas#Argentina!South America
LPA,Gran Canaria Airport;Las Palmas#Spain and Canary Islands!Europe
LSP,Josefa Camejo Airport;Las Piedras#Venezuela!South America
VTU,Hermanos Ameijeiras Airport;Las Tunas#Cuba!Caribbean
LAS,McCarran International Airport;Las Vegas#United States!North America
HSH,Henderson Executive Airport;Las Vegas#United States!North America
LSV,Nellis Air Force Base;Las Vegas#United States!North America
LVS,Las Vegas Airport;Las Vegas#United States!North America
VGT,North Las Vegas Airport;Las Vegas#United States!North America
QLA,Lasham Airfield;Lasham#United Kingdom!Europe
LSH,Lashio Airport;Lashio#Myanmar!Asia
OAZ,Camp Bastion;Lashkar Gah#Afghanistan!Asia
LTL,Lastourville Airport;Lastourville#Gabon!Africa
LTX,Cotapaxi International Airport;Latacunga#Ecuador!South America
LTK,Latakia Airport;Latakia#Syrian Arab Republic!Middle East
LRO,Sharpe Army Air Field;Lathrop#United States!North America
LTH,Lathrop Wells Airport;Lathrop Wells#United States!North America
LTB,Latrobe Airport;Latrobe#Australia!Oceania
LBE,Westmoreland County Airport;Latrobe#United States!North America
LUC,Laucala Island Airport;Laucala Island#Fiji!Oceania
LST,Launceston Airport;Launceston#Australia!Oceania
LUU,Laura Airport;Laura#Australia!Oceania
LUT,Laura Station Airport;Laura Station#Australia!Oceania
LUL,Hesler-Noble Field;Laurel#United States!North America
PIB,Hattiesburg-Laurel Regional Airport;Laurel#United States!North America
LRQ,Laurie River Airport;Laurie River#Canada!North America
QLX,Lauterach Airport;Lauterach#Austria!Europe
LVA,Entrammes Airport;Laval#France!Europe
LVP,Lavan Island Airport;Lavan#Iran!Asia
LVO,Laverton Airport;Laverton#Australia!Oceania
LWY,Lawas Airport;Lawas#Malaysia!Asia
LWH,Lawn Hill Airport;Lawn Hill#Australia!Oceania
LWC,Lawrence Airport;Lawrence#United States!North America
LWM,Lawrence Municipal Airport;Lawrence#United States!North America
LVL,Lawrenceville Airport;Lawrenceville#United States!North America
LWV,Lawrenceville Municipal Airport;Lawrenceville#United States!North America
LAW,Lawton-Fort Sill Regional Airport;Lawton#United States!North America
LZC,Lazaro Cardenas Airport;Lazaro Cardenas#Mexico!North America
CTT,Le Castellet Airport;Le Castellet#France!Europe
LEH,Octeville Airport;Le Havre#France!Europe
LME,Arnage Airport;Le Mans#France!Europe
LPY,Loudes Airport;Le Puy#France!Europe
LTQ,Le Touquet Airport;Le Touquet#France!Europe
LXV,Leadville Airport;Leadville#United States!North America
XLF,Leaf Bay Airport;Leaf Bay#Canada!North America
YLR,Leaf Rapids Airport;Leaf Rapids#Canada!North America
LEA,Learmonth Airport;Learmonth#Australia!Oceania
LEF,Lebakeng Airport;Lebakeng#Lesotho!Africa
LEB,Lebanon Regional Airport;Lebanon#United States!North America
YLS,Lebel-Sur-Quevillon Airport;Lebel-Sur-Quevillon#Canada!North America
LCC,Galatina Airport;Lecce#Italy!Europe
LEO,Leconi Airport;Leconi#Gabon!Africa
LBA,Leeds Bradford International Airport;Leeds#United Kingdom!Europe
LEE,Leesburg Airport;Leesburg#United States!North America
LWR,Leeuwarden Airport;Leeuwarden#Netherlands!Europe
LGP,Legaspi Airport;Legaspi#Philippines!Asia
IXL,Leh Airport;Leh#India!Asia
LHP,Lehu Airport;Lehu#Papua New Guinea!Asia
EMA,East Midlands Airport;Leicestershire#United Kingdom!Europe
LID,Valkenburg Airport;Leiden#Netherlands!Europe
LGH,Leigh Creek Airport;Leigh Creek#Australia!Oceania
LER,Leinster Airport;Leinster#Australia!Oceania
LEJ,Leipzig/Halle Airport;Leipzig/Halle#Germany!Europe
LTF,Leitre Airport;Leitre#Papua New Guinea!Asia
LKC,Lekana Airport;Lekana#Congo!Africa
LKN,Leknes Airport;Leknes#Norway!Europe
LEY,Lelystad Airport;Lelystad#Netherlands!Europe
LRJ,Lemars Municipal Airport;Lemars#United States!North America
LEM,Lemmon Airport;Lemmon#United States!North America
NLC,Naval Air Station/Reeves Field;Lemoore#United States!North America
XLW,Lemwerder Airport;Lemwerder#Germany!Europe
LEC,Chapada Diamantina Airport;Lencois#Brazil!South America
QGC,Lencois Paulista;Lencois Paulista#Brazil!South America
LNC,Lengbati Airport;Lengbati#Papua New Guinea!Asia
ULK,Lensk Airport;Lensk#Russian Federation!Europe
XLU,Leo Airport;Leo#Burkina Faso!Africa
LEN,Leon Airport;Leon#Spain and Canary Islands!Europe
SYC,Shiringayoc O Hda Mejia;Leon Velarde#Peru!South America
BJX,Guanajuato International Airport;Leon/Guanajuato#Mexico!North America
LTW,Saint Marys County Airport;Leonardtown#United States!North America
LNO,Leonora Airport;Leonora#Australia!Oceania
LEP,Leopoldina Airport;Leopoldina#Brazil!South America
