iata,name;city#countryName!regionName
PMY,El Tehuelche Airport;Puerto Madryn#Argentina!South America
SRJ,Capitan G Q Guardia Airport;San Borja#Bolivia!South America
ABS,Abu Simbel Airport;Abu Simbel#Egypt!Middle East
GJL,Jijel Ferhat Abbas Airport;Jijel#Algeria!Africa
LCE,Goloson International Airport;La Ceiba#Honduras!Central America
MYA,Moruya Airport;Moruya#Australia!Oceania
DGO,Guadalupe Victoria Airport;Durango#Mexico!North America
LBD,Khujand Airport;Khujand#Tajikistan!Asia
CMA,Cunnamulla Airport;Cunnamulla#Australia!Oceania
NEV,Newcastle Airport;Nevis#St. Kitts and Nevis!Caribbean
OPU,Balimo Airport;Balimo#Papua New Guinea!Asia
GRR,Gerald R. Ford International Airport;Grand Rapids#United States!North America
BOO,Bodo Airport;Bodo#Norway!Europe
TWB,Toowoomba Airport;Toowoomba#Australia!Oceania
KAC,Kameshli Airport;Kameshli#Syrian Arab Republic!Middle East
BDA,L.F. Wade International Airport;Bermuda#Bermuda!Caribbean
FRS,Santa Elena Airport;Flores#Guatemala!Central America
KLU,Klagenfurt Airport;Klagenfurt#Austria!Europe
PNI,Pohnpei Airport;Pohnpei, Caroline Islands#Micronesia!Oceania
EEK,Eek Airport;Eek#United States!North America
HKB,Healy Lake Airport;Healy Lake#United States!North America
RSJ,Rosario Sea Plane Base;Rosario#United States!North America
XQP,Quepos Airport;Quepos#Costa Rica!Central America
UBP,Ubon Ratchathani International Airport;Ubon Ratchathani#Thailand!Asia
MZL,La Nubia Airport;Manizales#Colombia!South America
EBD,El Obeid Airport;El Obeid#Sudan!Africa
BHI,Comandante Airport;Bahia Blanca#Argentina!South America
KZI,Philippos Airport;Kozani#Greece!Europe
DAD,Da Nang International Airport;Da Nang#Viet Nam!Asia
LZC,Lazaro Cardenas Airport;Lazaro Cardenas#Mexico!North America
YLE,Whati Airport;Whati/Lac La Martre#Canada!North America
BWI,Baltimore/Wash International Thurgood Marshall Airport;Baltimore#United States!North America
YGW,Kuujjuarapik Airport;Kuujjuarapik#Canada!North America
BST,Bost Airport;Bost#Afghanistan!Asia
YFC,Fredericton International Airport;Fredericton#Canada!North America
