iata,name,city,countryName,regionName,utcOffsetHours,latitude,longitude
TNV,Fanning Island Airport,Tabuaeran,Kiribati,Oceania,14,3.833333,-159.35
TOK,Torokina Airport,Torokina,Papua New Guinea,Asia,10,-6.233333,155.333333
TON,Tonu Airport,Tonu,Papua New Guinea,Asia,10,-6.35,155.591667
TOT,Coronie Airport,Totness,Suriname,South America,-3,5.883333,-56.316667
TPJ,Taplejung Airport,Taplejung,Nepal,Asia,5.75,27.35,87.683333
TPK,Tapaktuan Airport,Tapaktuan,Indonesia,Asia,7,3.266667,97.183333
TPO,Tanalian Point Airport,Tanalian Point,United States,North America,-8,60.166667,-154.333333
GKH,Gorkha Airport,Gorkha,Nepal,Asia,5.75,28,84.675
KUC,Kuria Airport,Kuria,Kiribati,Oceania,12,0.233333,173.383333
TPT,Tapeta Airport,Tapeta,Liberia,Africa,0,6.483333,-8.866667
INO,Inongo Airport,Inongo,The Democratic Republic of The Congo,Africa,1,-1.95,18.279167
TTK,Tottenham Hale Station,Tottenham Hale Station,United Kingdom,Europe,1,51.583333,-0.083333
TPX,Tupai Airport,Tupai,French Polynesia,Oceania,-10,-16.283333,-151.833333
TRT,Tremonton Airport,Tremonton,United States,North America,-6,41.716667,-112.166667
TSD,Tshipise Airport,Tshipise,South Africa,Africa,2,-22.616667,30.166667
TSI,Tsili Tsili Airport,Tsili Tsili,Papua New Guinea,Asia,10,-6.85,146.35
TSK,Taskul Airport,Taskul,Papua New Guinea,Asia,10,-2.566667,150.416667
TSU,Tabiteuea South Airport,Tabiteuea South,Kiribati,Oceania,12,-1.416667,174.833333
TSW,Tsewi Airport,Tsewi,Papua New Guinea,Asia,10,-6.966667,146.033333
TSX,Tanjung Santan Airport,Tanjung Santan,Indonesia,Asia,8,-0.083333,117.433333
TSY,Tasikmalaya Airport,Tasikmalaya,Indonesia,Asia,7,-7.3,108.2
TSZ,Tsetserleg Airport,Tsetserleg,Mongolia,Asia,8,47.733333,101.766667
TTI,Tetiaroa Island Airport,Tetiaroa Island,French Polynesia,Oceania,-10,-17.083333,-149.5
TTL,Turtle Island Airport,Turtle Island,Fiji,Oceania,12,-16.833333,179
TTM,Tablon De Tamara Airport,Tablon De Tamara,Colombia,South America,-5,5.716667,-72.1
TZN,South Andros Airport,Congo Town,Bahamas,Caribbean,-4,24.158367,-77.588798
TUT,Tauta Airport,Tauta,Papua New Guinea,Asia,10,-5.5,145.566667
TWH,Two Harbors Airport,Catalina Island,United States,North America,-7,33.425,-118.508333
TWY,Tawa Airport,Tawa,Papua New Guinea,Asia,10,-7.266667,146.066667
TWZ,Pukaki/Twizel Airport,Mount Cook,New Zealand,Oceania,12,-44.234167,170.117222
TJG,Warukin Airport,Tanjung,Indonesia,Asia,7,-2.21656,115.435997
TXM,Teminabuan Airport,Teminabuan,Indonesia,Asia,9,-1.433333,132.016667
TYD,Tynda Airport,Tynda,Russian Federation,Europe,9,55.283333,124.733333
TYE,Tyonek Airport,Tyonek,United States,North America,-8,61.016667,-151.333333
TYP,Tobermorey Airport,Tobermorey,Australia,Oceania,9.5,-22.283333,137.966667
TXF,Teixeira de Freitas Airport,Teixeira de Freitas,Brazil,South America,-3,-17.523049,-39.669842
UAE,Mount Aue Airport,Mount Aue,Papua New Guinea,Asia,10,-6.233333,144.65
UAI,Suai Airport,Suai,East Timor,Oceania,9,-9.3,125.283333
